time,BBL,BBM,BBU,Histogram,Histogram_before,Histogram_after,BBU_before,BBU_after,BBM_before,BBM_after,BBL_before,BBL_after,Cluster
13/06/2012,6220.629539198245,6332.5,6444.370460801755,-13.20439362,-18.52808921,-7.758327724,6527.92151773799,6399.716320728032,6362.642857142857,6320.571428571428,6197.364196547724,6241.426536414825,1
14/06/2012,6213.880109299475,6325.5,6437.119890700525,-14.42551789,-17.11632854,-6.067468138,6495.582690079137,6389.5100743890525,6351.785714285715,6319.0,6207.988738492291,6248.4899256109475,1
15/06/2012,6220.752634692949,6327.5,6434.247365307051,-13.2418132,-15.91871331,-4.974535333,6470.741795601984,6379.3318793451845,6342.928571428572,6316.357142857143,6215.115347255159,6253.382406369101,1
18/06/2012,6238.278255717576,6319.0,6399.721744282424,-9.944502654,-14.97298738,-4.575831095,6453.701802022275,6372.970480648092,6336.785714285715,6314.071428571428,6219.8696265491535,6255.172376494766,1
19/06/2012,6242.813181127929,6314.5,6386.186818872071,-7.387139751,-13.92708656,-6.446089187,6439.475783642425,6375.957592158891,6331.5,6310.285714285715,6223.524216357575,6244.613836412537,1
20/06/2012,6250.590801814611,6318.0,6385.409198185389,-4.134432823,-12.56797899,-9.808091133,6427.689162228648,6382.346014202432,6327.142857142857,6304.0,6226.596552057067,6225.653985797568,1
21/06/2012,6261.7421553267095,6321.5,6381.2578446732905,-2.52151671,-10.9639931,-13.81532481,6418.848972622034,6391.443763385466,6324.428571428572,6295.428571428572,6230.008170235109,6199.413379471677,1
22/06/2012,6261.9286169245215,6318.0,6374.0713830754785,-2.653371031,-9.265616665,-17.89425542,6409.759046117501,6402.952630363096,6322.642857142857,6285.5,6235.526668168212,6168.047369636904,1
25/06/2012,6263.3238336723325,6314.5,6365.6761663276675,-2.589500791,-7.758327724,-21.49001109,6399.716320728032,6415.2802347984625,6320.571428571428,6274.214285714285,6241.426536414825,6133.148336630109,1
26/06/2012,6255.000000000026,6309.0,6362.999999999974,-5.591283567,-6.067468138,-23.81610181,6389.5100743890525,6426.791866224039,6319.0,6262.071428571428,6248.4899256109475,6097.350990918819,1
27/06/2012,6250.808046597227,6303.0,6355.191953402773,-7.15357299,-4.974535333,-25.1701719,6379.331879345185,6438.480972097212,6316.357142857143,6249.357142857143,6253.3824063691,6060.233313617074,1
28/06/2012,6168.903400552336,6288.0,6407.096599447664,-20.4789464,-4.575831095,-24.41912641,6372.970480648092,6441.801197639457,6314.071428571428,6236.928571428572,6255.172376494766,6032.055945217685,1
29/06/2012,6117.8718475098185,6274.0,6430.1281524901815,-27.66844644,-6.446089187,-22.42351828,6375.95759215889,6440.758261045716,6310.285714285715,6224.642857142857,6244.613836412538,6008.527453239999,1
02/07/2012,6078.057911045481,6261.5,6444.942088954519,-30.57215247,-9.808091133,-19.61017964,6382.346014202432,6436.018026838549,6304.0,6212.357142857143,6225.653985797568,5988.696258875737,1
03/07/2012,6042.36654808111,6248.5,6454.63345191889,-31.2058853,-13.81532481,-16.29591956,6391.443763385466,6428.778399836846,6295.428571428572,6200.428571428572,6199.413379471677,5972.078743020297,1
04/07/2012,6019.0306026247645,6235.5,6451.9693973752355,-27.75979049,-17.89425542,-12.25728038,6402.952630363096,6420.097596433865,6285.5,6189.357142857143,6168.047369636904,5958.61668928042,1
05/07/2012,6004.418580020992,6224.0,6443.581419979008,-21.87391858,-21.49001109,-8.860070632,6415.2802347984625,6409.764040951836,6274.214285714285,6178.214285714285,6133.148336630109,5946.664530476735,1
06/07/2012,5990.984305485023,6214.0,6437.015694514977,-16.63206359,-23.81610181,-6.022789889,6426.791866224039,6397.094206477397,6262.071428571428,6166.785714285715,6097.350990918819,5936.477222094031,1
09/07/2012,5971.661821756607,6201.0,6430.338178243393,-15.221628,-25.1701719,-3.397965313,6438.480972097211,6380.92876968575,6249.357142857143,6155.214285714285,6060.2333136170755,5929.499801742822,1
10/07/2012,5953.1724036660125,6188.0,6422.8275963339875,-13.6991895,-24.41912641,-0.762652862,6441.801197639457,6360.934975243283,6236.928571428572,6143.714285714285,6032.055945217685,5926.493596185289,1
11/07/2012,5939.2395504956485,6175.5,6411.7604495043515,-10.87878199,-22.42351828,1.4693197173925228,6440.758261045717,6337.527082369573,6224.642857142857,6132.214285714285,6008.527453239998,5926.901489058999,1
12/07/2012,5926.0439370930335,6165.0,6403.9560629069665,-8.006064756,-19.61017964,3.3281341125424047,6436.018026838549,6308.957667803574,6212.357142857143,6120.428571428572,5988.696258875737,5931.899475053569,1
13/07/2012,5924.796226445629,6158.0,6391.203773554371,0.5106837903098267,-16.29591956,6.489058214908474,6428.778399836847,6285.749204015869,6200.428571428572,6110.142857142857,5972.078743020296,5934.536510269846,1
16/07/2012,5920.753468395186,6146.0,6371.246531604814,1.9065496286081753,-12.25728038,8.918107347280365,6420.097596433866,6261.314049776629,6189.357142857143,6100.5,5958.616689280419,5939.685950223371,1
17/07/2012,5919.6731468061025,6134.0,6348.3268531938975,3.2289016009277205,-8.860070632,11.10544285198239,6409.764040951837,6241.094520035149,6178.214285714285,6093.214285714285,5946.664530476734,5945.334051393423,1
18/07/2012,5922.819879298144,6120.0,6317.180120701856,3.152144034539802,-6.022789889,13.457142101255629,6397.094206477398,6226.834341637421,6166.785714285715,6088.785714285715,5936.47722209403,5950.7370869340075,1
19/07/2012,5932.12896476328,6107.5,6282.87103523672,4.747997651850355,-3.397965313,16.396086489953515,6380.92876968575,6221.623897138315,6155.214285714285,6087.642857142857,5929.499801742822,5953.661817147398,1
20/07/2012,5942.094800611625,6095.0,6247.905199388375,4.745026071820476,-0.762652862,18.417653342268036,6360.934975243282,6221.642753289319,6143.714285714285,6088.857142857143,5926.49359618529,5956.071532424967,1
23/07/2012,5961.029839055022,6082.5,6203.970160944978,5.005636009740478,1.4693197173925228,19.26043383913883,6337.527082369573,6227.9380435036655,6132.214285714285,6091.857142857143,5926.901489058999,5955.77624221062,1
24/07/2012,5943.25547295956,6086.0,6228.74452704044,22.63715250687231,3.3281341125424047,16.814757052786383,6308.957667803573,6230.584847980556,6120.428571428572,6094.142857142857,5931.89947505357,5957.700866305158,1
25/07/2012,5956.799548069866,6078.5,6200.200451930134,18.90989355521141,6.489058214908474,14.403519140843018,6285.749204015868,6237.190750449037,6110.142857142857,6097.285714285715,5934.536510269847,5957.380678122391,1
26/07/2012,5959.209854996455,6083.0,6206.790145003545,18.5402501338419,8.918107347280365,11.742767025586422,6261.314049776628,6242.83696878961,6100.5,6099.928571428572,5939.685950223372,5957.020174067533,1
27/07/2012,5960.641128082245,6089.0,6217.358871917755,19.614038779452464,11.10544285198239,8.764836849279535,6241.09452003515,6246.906068613551,6093.214285714285,6101.928571428572,5945.334051393422,5956.951074243591,1
30/07/2012,5952.602076257019,6099.5,6246.397923742981,25.320608372735567,13.457142101255629,4.721387790731997,6226.83434163742,6246.82673246246,6088.785714285715,6102.428571428572,5950.737086934008,5958.030410394683,1
31/07/2012,5958.9628075546,6103.5,6248.0371924454,18.89599403802211,16.396086489953515,1.2141444254942333,6221.623897138315,6246.698557404835,6087.642857142857,6102.142857142857,5953.661817147398,5957.58715688088,1
01/08/2012,5958.9628075546,6103.5,6248.0371924454,10.90509948783604,18.417653342268036,-2.505272117,6221.642753289319,6248.405441268624,6088.857142857143,6100.071428571428,5956.071532424967,5951.737415874233,1
02/08/2012,5956.727841621326,6102.0,6247.272158378674,5.5174150024051976,19.26043383913883,-5.427641983,6227.938043503666,6250.594349042191,6091.857142857143,6097.5,5955.776242210619,5944.405650957809,1
03/08/2012,5954.558230790501,6100.5,6246.441769209499,2.0312281716078466,16.814757052786387,-7.867208466,6230.584847980555,6253.373180141539,6094.142857142857,6094.285714285715,5957.700866305159,5935.198248429891,1
06/08/2012,5956.686326612441,6101.5,6246.313673387559,-0.085014673,14.403519140843018,-10.04068226,6237.190750449036,6256.821801786528,6097.285714285715,6090.071428571428,5957.380678122392,5923.3210553563285,1
07/08/2012,5960.157429314652,6103.0,6245.842570685348,-1.231472455,11.742767025586422,-12.27522484,6242.83696878961,6261.235457055291,6099.928571428572,6084.357142857143,5957.020174067533,5907.478828658996,1
08/08/2012,5960.157429314652,6103.0,6245.842570685348,-2.983535037,8.764836849279535,-14.67643229,6246.906068613551,6267.16523504369,6101.928571428572,6077.142857142857,5956.951074243591,5887.120479242025,1
09/08/2012,5955.860032957987,6101.5,6247.139967042013,-5.654709519,4.721387790731997,-15.92875914,6246.826732462461,6272.910200894845,6102.428571428572,6069.285714285715,5958.030410394682,5865.661227676584,1
10/08/2012,5918.014620508072,6089.0,6259.985379491928,-15.13081631,1.2141444254942333,-17.72655734,6246.698557404835,6275.42410243713,6102.142857142857,6058.428571428572,5957.58715688088,5841.433040420013,1
13/08/2012,5905.405487206357,6084.0,6262.594512793643,-14.93917406,-2.505272117,-20.46094519,6248.405441268625,6280.07661602608,6100.071428571428,6045.071428571428,5951.737415874232,5810.066241116778,1
14/08/2012,5890.1064130950745,6078.0,6265.8935869049255,-15.04573721,-5.427641983,-25.9627639,6250.594349042192,6292.274582301229,6097.5,6027.071428571428,5944.405650957808,5761.868274841628,1
15/08/2012,5873.545975097508,6072.0,6270.454024902492,-15.29933121,-7.867208466,-32.30455728,6253.373180141537,6305.701119472154,6094.285714285715,6004.5,5935.1982484298915,5703.298880527846,1
16/08/2012,5849.2618424333195,6063.0,6276.7381575666805,-16.87327051,-10.04068226,-40.86362071,6256.821801786528,6322.3098205940205,6090.071428571428,5975.214285714285,5923.3210553563285,5628.118750834551,1
17/08/2012,5817.648983395858,6052.5,6287.351016604142,-19.79198719,-12.27522484,-50.99995407,6261.23545705529,6343.846248227831,6084.357142857143,5939.5,5907.4788286589965,5535.153751772169,1
20/08/2012,5805.645271999906,6046.5,6287.354728000094,-14.42099746,-14.67643229,-62.20663184,6267.165235043688,6368.209615339263,6077.142857142857,5897.142857142857,5887.120479242026,5426.076098946452,1
21/08/2012,5748.417309712068,6013.0,6277.582690287932,-27.71540375,-15.92875914,-70.80222013,6272.910200894844,6393.779958883744,6069.285714285715,5852.071428571428,5865.661227676585,5310.362898259113,1
22/08/2012,5685.837892083706,5990.5,6295.162107916294,-34.07988903,-17.72655734,-74.87005832,6275.4241024371295,6411.35027540892,6058.428571428572,5804.5,5841.433040420014,5197.6497245910805,1
23/08/2012,5552.720649169031,5952.0,6351.279350830969,-53.55846814,-20.46094519,-71.06653101,6280.07661602608,6413.753920148469,6045.071428571428,5758.357142857143,5810.066241116778,5102.960365565818,1
24/08/2012,5463.5602149010365,5914.0,6364.4397850989635,-59.6918849,-25.9627639,-64.37249449,6292.274582301229,6406.433961735609,6027.071428571428,5712.285714285715,5761.868274841628,5018.137466835819,1
27/08/2012,5323.0009345802555,5858.0,6392.9990654197445,-76.7867145,-32.30455728,-54.88575213,6305.701119472154,6387.249336754968,6004.5,5668.0,5703.298880527846,4948.750663245033,1
